epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13284,1.92841,3.50432,3.49729,1.52553,0.76198,0.22069,0.37929,0.20324,0.75861,0.21402,0.37935,0.17848,1.29611,1.68939,2.88926,1.00628,0.000324074,0.000324074,0.000324074
2,15.5819,1.44239,2.07245,1.93617,1.18731,0.89766,0.23598,0.78541,0.37144,0.89766,0.23598,0.79513,0.38501,1.40666,1.63637,2.57619,1.07695,0.000644391,0.000644391,0.000644391
3,22.0281,1.38463,1.85469,1.59088,1.16052,0.79049,0.73894,0.92656,0.49494,0.80389,0.75241,0.93489,0.51502,1.32669,1.5295,1.71815,1.05679,0.000951507,0.000951507,0.000951507
4,28.5865,1.35953,1.80743,1.45502,1.14074,0.83746,0.83372,0.94365,0.57371,0.8316,0.84441,0.95338,0.57378,1.25514,1.01033,1.2103,1.03264,0.0009406,0.0009406,0.0009406
5,35.01,1.31784,1.73931,1.279,1.13327,0.9164,0.90513,0.96277,0.61123,0.91989,0.90846,0.96627,0.58261,1.21308,1.06488,0.97657,1.09599,0.0009208,0.0009208,0.0009208
6,41.5191,1.28954,1.71396,1.2255,1.12615,0.86923,0.85393,0.95556,0.50891,0.86716,0.86006,0.95098,0.46598,1.38442,1.19897,1.15407,1.11539,0.000901,0.000901,0.000901
7,47.9551,1.2824,1.66143,1.14927,1.12795,0.8005,0.92173,0.97344,0.62066,0.8069,0.92458,0.97709,0.60161,1.17754,1.05419,1.03609,1.04215,0.0008812,0.0008812,0.0008812
8,54.4201,1.25923,1.6827,1.08366,1.1225,0.94785,0.96692,0.98946,0.65837,0.93877,0.95712,0.98405,0.57571,1.11634,1.09779,0.81511,1.03946,0.0008614,0.0008614,0.0008614
9,60.8455,1.2513,1.66143,1.04097,1.11508,0.95673,0.96778,0.9895,0.65713,0.95673,0.96778,0.9895,0.63625,1.12407,0.94637,0.80049,1.01809,0.0008416,0.0008416,0.0008416
10,67.1193,1.24172,1.63374,1.02089,1.12542,0.96807,0.98195,0.99053,0.63794,0.96832,0.98195,0.99108,0.615,1.24511,0.89213,0.79288,1.06981,0.0008218,0.0008218,0.0008218
11,73.4457,1.20691,1.63156,0.97064,1.09309,0.97718,0.99007,0.99125,0.66514,0.97718,0.99007,0.99125,0.60575,1.14242,1.13304,0.80162,1.00716,0.000802,0.000802,0.000802
12,79.932,1.22567,1.61872,0.98082,1.10713,0.95721,0.98592,0.9823,0.65454,0.95399,0.98258,0.97574,0.59445,1.0855,1.0433,0.73345,1.01413,0.0007822,0.0007822,0.0007822
13,86.2492,1.18098,1.59926,0.93108,1.08964,0.97446,0.9841,0.98787,0.61813,0.97776,0.98743,0.99235,0.57385,1.22615,1.09655,0.77628,1.06244,0.0007624,0.0007624,0.0007624
14,92.7141,1.19724,1.58826,0.90197,1.09504,0.9849,1,0.99251,0.65177,0.9849,1,0.99251,0.62612,1.11076,1.01046,0.68881,1.02051,0.0007426,0.0007426,0.0007426
15,99.2168,1.17215,1.53853,0.85882,1.08526,0.98047,0.99829,0.99284,0.67571,0.98047,0.99829,0.99284,0.62748,1.08307,0.9737,0.70627,1.02621,0.0007228,0.0007228,0.0007228
16,105.7,1.16772,1.56079,0.86174,1.09097,0.97019,0.98973,0.98677,0.66137,0.98,0.9998,0.99422,0.61497,1.09752,0.97785,0.72491,0.99609,0.000703,0.000703,0.000703
17,112.057,1.16591,1.53884,0.85913,1.09624,0.97982,0.99712,0.99301,0.67761,0.97645,0.99379,0.9897,0.63549,1.06514,0.94368,0.65555,1.00178,0.0006832,0.0006832,0.0006832
18,118.431,1.17839,1.55237,0.83861,1.08348,0.97422,0.9865,0.9896,0.62395,0.97402,0.98666,0.9898,0.56063,1.18476,1.09579,0.71573,1.06197,0.0006634,0.0006634,0.0006634
19,124.756,1.15605,1.5551,0.80601,1.08326,0.99219,0.99442,0.99467,0.68303,0.99219,0.99442,0.99467,0.65184,1.0919,0.95905,0.64424,1.01431,0.0006436,0.0006436,0.0006436
20,131.083,1.17284,1.55108,0.81446,1.08782,0.97606,0.99443,0.99316,0.58552,0.97944,0.99776,0.99441,0.54243,1.28713,1.0063,0.74129,1.09019,0.0006238,0.0006238,0.0006238
21,137.444,1.14979,1.49904,0.78835,1.07938,0.98424,0.99282,0.99205,0.6876,0.98765,0.99615,0.99317,0.64968,1.04337,0.93366,0.62903,0.99518,0.000604,0.000604,0.000604
