epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,144.041,1.13748,1.49056,0.78434,1.07846,0.98573,0.99667,0.99099,0.64746,0.98906,1,0.99493,0.58562,1.14759,1.03823,0.65582,1.02389,0.0005842,0.0005842,0.0005842
23,150.315,1.12685,1.45107,0.74397,1.07034,0.98853,0.9997,0.9944,0.70079,0.98853,0.9997,0.9944,0.65899,1.01498,0.92942,0.59997,0.99279,0.0005644,0.0005644,0.0005644
24,156.819,1.12865,1.47449,0.75469,1.0742,0.98536,0.99536,0.99038,0.68765,0.98867,0.99869,0.99487,0.6251,1.06007,0.91837,0.63091,1.00699,0.0005446,0.0005446,0.0005446
25,163.26,1.12473,1.44231,0.74595,1.06703,0.98478,1,0.99237,0.7025,0.98478,1,0.99237,0.66108,0.99474,0.90445,0.5918,0.98304,0.0005248,0.0005248,0.0005248
26,169.605,1.09051,1.4395,0.7114,1.05872,0.98896,0.99867,0.99393,0.70573,0.98896,0.99867,0.99393,0.65825,1.02047,0.8721,0.58706,0.98907,0.000505,0.000505,0.000505
27,176.005,1.09959,1.45166,0.72324,1.06082,0.98655,0.996,0.99275,0.70678,0.98986,0.99933,0.99454,0.64682,1.01663,0.97467,0.59999,0.98567,0.0004852,0.0004852,0.0004852
28,182.266,1.11497,1.43812,0.72011,1.05907,0.98254,0.98904,0.98659,0.62969,0.98584,0.99237,0.99088,0.57089,1.19795,0.98039,0.66721,1.05607,0.0004654,0.0004654,0.0004654
29,188.628,1.10217,1.43147,0.71827,1.05694,0.98838,0.99557,0.9904,0.69903,0.99171,0.9989,0.99487,0.64589,1.0464,0.94529,0.5786,1.00225,0.0004456,0.0004456,0.0004456
30,194.981,1.06675,1.42018,0.68141,1.04313,0.98592,0.99667,0.98992,0.69067,0.98923,1,0.994,0.62,1.0481,0.85961,0.56604,0.99737,0.0004258,0.0004258,0.0004258
31,201.287,1.0893,1.46418,0.69365,1.05577,0.9858,1,0.995,0.71255,0.9858,1,0.995,0.63027,1.00715,0.90917,0.54843,0.98839,0.000406,0.000406,0.000406
32,207.717,1.06208,1.41247,0.67083,1.04063,0.98058,1,0.99335,0.72251,0.98058,1,0.99335,0.65549,0.97352,0.92665,0.54152,0.97492,0.0003862,0.0003862,0.0003862
33,214.099,1.07788,1.42318,0.65967,1.05219,0.98625,1,0.99373,0.69535,0.98625,1,0.99373,0.63133,1.03915,0.97155,0.55703,0.9901,0.0003664,0.0003664,0.0003664
34,220.618,1.07607,1.40152,0.67164,1.05026,0.99076,0.99773,0.99493,0.69724,0.99076,0.99773,0.99493,0.63962,1.03214,0.9295,0.5612,0.99176,0.0003466,0.0003466,0.0003466
35,226.96,1.04685,1.39142,0.66232,1.0447,0.99422,1,0.995,0.73245,0.99422,1,0.995,0.67795,0.9739,0.92408,0.5338,0.97422,0.0003268,0.0003268,0.0003268
36,233.381,1.04021,1.40982,0.66205,1.0445,0.99061,0.99667,0.99439,0.70505,0.99025,1,0.9948,0.66934,1.00401,0.92302,0.529,0.98555,0.000307,0.000307,0.000307
37,239.752,1.03836,1.36225,0.64708,1.03946,0.98129,0.99428,0.99172,0.70142,0.98789,1,0.99297,0.65233,1.01902,0.94931,0.53845,0.98015,0.0002872,0.0002872,0.0002872
38,245.951,1.02648,1.36876,0.63912,1.03551,0.99291,0.99992,0.99407,0.71659,0.99291,0.99992,0.99407,0.65036,0.96997,0.91321,0.51788,0.97572,0.0002674,0.0002674,0.0002674
39,252.298,1.03767,1.37433,0.63275,1.03981,0.98314,1,0.99394,0.71281,0.98314,1,0.99394,0.66189,1.00865,0.88841,0.52263,0.97755,0.0002476,0.0002476,0.0002476
40,258.582,1.04138,1.39988,0.63662,1.03994,0.99015,1,0.99487,0.68226,0.99015,1,0.99487,0.6208,1.0897,0.99183,0.5322,1.02092,0.0002278,0.0002278,0.0002278
41,266.694,1.01461,1.32073,0.59297,1.05067,0.97836,0.98993,0.98616,0.67166,0.98834,1,0.99493,0.59259,1.11066,0.96532,0.56117,1.02354,0.000208,0.000208,0.000208
42,272.875,0.966,1.28346,0.57112,1.02408,0.9905,0.99855,0.99453,0.72955,0.9905,0.99855,0.99453,0.67055,0.94842,0.90531,0.50988,0.96624,0.0001882,0.0001882,0.0001882
43,278.994,0.93811,1.26946,0.55485,1.01982,0.99168,0.99896,0.99447,0.71697,0.99168,0.99896,0.99447,0.65392,0.97484,0.91965,0.51082,0.97536,0.0001684,0.0001684,0.0001684
44,285.041,0.94891,1.26125,0.55179,1.02008,0.98899,0.99899,0.99487,0.72569,0.98899,0.99899,0.99487,0.66915,0.9434,0.87907,0.4949,0.96349,0.0001486,0.0001486,0.0001486
45,291.085,0.92786,1.26699,0.54747,1.01113,0.99072,1,0.99473,0.71362,0.99072,1,0.99473,0.64365,0.98176,0.92423,0.51031,0.97956,0.0001288,0.0001288,0.0001288
