epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,700.195,1.56824,1.78901,1.58336,1.33512,0.78108,0.77416,0.85743,0.48692,0.79157,0.78931,0.89039,0.44147,1.54056,1.85988,1.67858,1.42266,0.00060515,0.00060515,0.00060515
13,759.22,1.51564,1.6107,1.44142,1.28821,0.84849,0.82983,0.88879,0.54575,0.86151,0.84498,0.91196,0.46798,1.44219,1.7199,1.50672,1.39447,0.000604,0.000604,0.000604
14,819.118,1.46876,1.68525,1.35377,1.26568,0.81777,0.90887,0.93923,0.59311,0.76448,0.86841,0.88309,0.49174,1.35527,1.71246,1.42218,1.32875,0.000571,0.000571,0.000571
15,875.879,1.53893,1.6362,1.37781,1.26831,0.8942,0.87894,0.95482,0.55108,0.85315,0.83436,0.89913,0.46766,1.40033,1.73801,1.42566,1.30342,0.000538,0.000538,0.000538
16,933.881,1.45194,1.60791,1.30571,1.24198,0.82227,0.9362,0.94956,0.58556,0.82227,0.9362,0.94956,0.49181,1.32801,1.67899,1.34761,1.27952,0.000505,0.000505,0.000505
17,992.267,1.40543,1.54752,1.2652,1.24211,0.87965,0.90922,0.9717,0.602,0.86756,0.89449,0.94514,0.5498,1.28768,1.54561,1.26741,1.2513,0.000472,0.000472,0.000472
18,1051.94,1.43411,1.49422,1.24884,1.22903,0.77226,0.90915,0.97824,0.6355,0.76338,0.89599,0.95242,0.5619,1.21005,1.4014,1.25484,1.21192,0.000439,0.000439,0.000439
19,1112.21,1.40272,1.55305,1.22374,1.19857,0.85315,0.92019,0.98139,0.63343,0.85315,0.92019,0.98139,0.5787,1.20529,1.36372,1.20983,1.20255,0.000406,0.000406,0.000406
20,1171.43,1.33015,1.48708,1.18201,1.18293,0.9208,0.98307,0.97365,0.63493,0.90716,0.96844,0.95778,0.57476,1.19879,1.37583,1.14412,1.18756,0.000373,0.000373,0.000373
21,1228.49,1.23446,1.44901,1.14253,1.13406,0.95513,0.95075,0.97688,0.63661,0.93688,0.93593,0.95853,0.57015,1.19249,1.4104,1.19577,1.16412,0.00034,0.00034,0.00034
22,1285.28,1.25257,1.34299,1.13776,1.12948,0.89836,0.88606,0.95984,0.6218,0.91343,0.90067,0.97599,0.55942,1.22953,1.42629,1.27771,1.15843,0.000307,0.000307,0.000307
23,1342.09,1.20122,1.32142,1.14217,1.12992,0.94048,0.96724,0.98466,0.64136,0.92317,0.95238,0.96601,0.59512,1.18024,1.29254,1.13751,1.14899,0.000274,0.000274,0.000274
24,1400.68,1.21584,1.31368,1.07449,1.11172,0.93568,0.97532,0.98492,0.64645,0.93568,0.97532,0.98492,0.59148,1.15468,1.30473,1.03741,1.14881,0.000241,0.000241,0.000241
25,1458.16,1.18908,1.35986,1.0586,1.11251,0.89648,0.9805,0.97485,0.64793,0.89782,0.98081,0.96295,0.57648,1.16001,1.34597,1.03189,1.16063,0.000208,0.000208,0.000208
26,1519.86,1.17292,1.29358,1.06005,1.12488,0.94042,0.98518,0.99045,0.65317,0.92236,0.97098,0.96892,0.58423,1.14825,1.29747,1.02899,1.14795,0.000175,0.000175,0.000175
27,1577.72,1.19912,1.28616,1.04297,1.12981,0.94054,0.98703,0.99045,0.67335,0.94054,0.98703,0.99045,0.60123,1.13038,1.24228,1.0193,1.12135,0.000142,0.000142,0.000142
28,1639.07,1.23642,1.28492,1.05119,1.11074,0.95883,0.96914,0.99045,0.68259,0.95883,0.96914,0.99045,0.61289,1.11481,1.22249,1.02137,1.1153,0.000109,0.000109,0.000109
29,1701.62,1.16466,1.27675,1.03078,1.08141,0.95002,0.97408,0.99045,0.6805,0.93572,0.95908,0.97006,0.59145,1.11115,1.21476,1.0141,1.11685,7.6e-05,7.6e-05,7.6e-05
30,1760.69,1.18656,1.30998,1.05478,1.10631,0.94915,0.97245,0.9892,0.6828,0.93525,0.95737,0.9673,0.59125,1.11504,1.21275,1.01153,1.11713,4.3e-05,4.3e-05,4.3e-05
