epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.637,4.22774,5.40312,4.71869,3.27273,0,0,0,0,0,0,0,0,5.76833,4.80043,5.88816,4.636,7e-05,7e-05,7e-05
2,119.624,3.78719,3.85658,4.43025,3.0448,0,0,0,0,0.00023,0.01667,0.0003,0.00014,5.35361,4.88065,5.22257,4.31957,0.00014505,0.00014505,0.00014505
3,175.522,3.05599,2.9546,3.8325,2.51745,0,0,0,0,0,0,0,0,5.13503,4.75472,5.07212,4.24327,0.00021482,0.00021482,0.00021482
4,231.869,2.67462,2.88383,3.19278,2.198,0,0,0,0,0,0,0,0,5.01406,4.6937,4.92667,4.12063,0.00027931,0.00027931,0.00027931
5,289.599,2.35039,2.49367,2.65324,1.92922,0,0,0,0,0.00029,0.01667,0.00277,0.00194,4.38072,4.21831,4.58477,3.62854,0.00033852,0.00033852,0.00033852
6,349.867,2.16567,2.33151,2.2941,1.70851,0.762,0.19693,0.27817,0.12669,0.68562,0.18178,0.2572,0.11918,2.60302,3.22486,3.53894,2.4083,0.00039245,0.00039245,0.00039245
7,409.28,1.92057,2.20596,2.06662,1.60788,0.78675,0.32323,0.5046,0.23467,0.7432,0.32923,0.4839,0.2303,2.21619,2.96614,2.91342,2.01131,0.0004411,0.0004411,0.0004411
8,467.074,1.89939,2.0472,1.99103,1.55643,0.78386,0.54594,0.65409,0.30103,0.78386,0.54594,0.64611,0.31288,1.91655,2.85206,2.49602,1.75549,0.00048447,0.00048447,0.00048447
9,525.268,1.76637,1.85266,1.76692,1.44983,0.71273,0.57111,0.70787,0.34878,0.72706,0.57087,0.71957,0.32746,1.80053,2.59967,2.36523,1.66162,0.00052256,0.00052256,0.00052256
10,584.256,1.63602,1.8206,1.66819,1.39271,0.80251,0.66729,0.77247,0.41158,0.81771,0.68244,0.80312,0.39082,1.68781,2.44241,2.06968,1.61194,0.00055537,0.00055537,0.00055537
11,642.271,1.62404,1.8362,1.62117,1.36002,0.7065,0.73193,0.83128,0.43214,0.74244,0.76034,0.86843,0.39849,1.64991,2.14368,1.82427,1.4926,0.0005829,0.0005829,0.0005829
